PDBchain   len  method   resol   rfac  freerfac
7CL8A      420  XRAY      1.42  0.145  0.161
5OXTA      328  XRAY      1.42  0.151  0.164
7N7HA      293  XRAY      1.42  0.153  0.172
9DQCA      332  XRAY      1.42  0.156  0.178
6W1HA      464  XRAY      1.42  0.159  0.194
5KO6A      287  XRAY      1.42  0.163  0.178
8T26A      509  XRAY      1.42  0.164  0.188
6FZ6A      366  XRAY      1.42  0.167  0.187
4M7XA      273  XRAY      1.42  0.172  0.194
8HS0A      574  XRAY      1.42  0.182  0.197
7ZERA      498  XRAY      1.42  0.183  0.197
3LQ3A      401  XRAY      1.42  0.188  0.213
6QP1A      421  XRAY      1.42  0.192  0.219
7EXSA      372  XRAY      1.42  0.192  0.217
8ZOVA      306  XRAY      1.42  0.194  0.225
4NESA      374  XRAY      1.42  0.196   0.22
3A35A      190  XRAY     1.421  0.196  0.234
4D5EA      589  XRAY      1.43  0.123  0.147
4W7VA      332  XRAY      1.43  0.134  0.173
4MVAA      279  XRAY      1.43  0.136  0.156
8I0DA      458  XRAY      1.43  0.148  0.184
6SHUA      361  XRAY      1.43  0.155  0.179
3W87A      314  XRAY      1.43  0.155  0.187
6IX6A      196  XRAY      1.43  0.156  0.195
5L0TA      357  XRAY      1.43  0.157  0.173
5L0TB       42  XRAY      1.43  0.157  0.173
8G1YA      497  XRAY      1.43  0.158  0.177
6TJRA      349  XRAY      1.43  0.164  0.179
3NHIA      296  XRAY      1.43  0.168   0.19
4M8IA      400  XRAY      1.43  0.171  0.206
7Q1DA      287  XRAY      1.43  0.178    0.2
1M7GA      211  XRAY      1.43  0.182  0.205
5OE3A      407  XRAY      1.43  0.191  0.216
7XYKA      292  XRAY     1.433  0.149   0.17
2PFEA      186  XRAY     1.436  0.205  0.229
6YIIA      514  XRAY      1.44  0.131  0.147
9QYEA      203  XRAY      1.44  0.143  0.176
8HUIA      400  XRAY      1.44  0.154  0.168
7KD7A      204  XRAY      1.44  0.163  0.183
3ZXKA      542  XRAY      1.44  0.169  0.207
6TEQA      429  XRAY      1.44   0.17  0.203
8ST7A      226  XRAY      1.44  0.171  0.199
8ST7B       75  XRAY      1.44  0.171  0.199
3W6ZA      306  XRAY      1.44  0.172  0.185
7H6JA      163  XRAY      1.44  0.188  0.218
5HA0A      156  XRAY     1.441  0.161  0.188
7U8VA      483  XRAY     1.448  0.181  0.202
6N9MA      341  XRAY     1.449  0.155  0.168
3O9ZA      312  XRAY     1.449  0.195  0.226
9FP4A      332  XRAY      1.45  0.117  0.146
6I3DA      232  XRAY      1.45   0.12  0.146
4B4UA      303  XRAY      1.45  0.123  0.152
4L9PB      519  XRAY      1.45  0.126  0.152
4L9PA      367  XRAY      1.45  0.126  0.152
1GVFA      286  XRAY      1.45  0.127  0.173
5Z1BA      692  XRAY      1.45   0.13   0.16
6BWLA      328  XRAY      1.45  0.131  0.151
5KDIA      211  XRAY      1.45  0.133  0.177
8CNRA      548  XRAY      1.45  0.134  0.152
6XM7A      489  XRAY      1.45  0.135  0.154
4CDPA      354  XRAY      1.45  0.135  0.173
5BQFA      322  XRAY      1.45   0.14  0.165
7AO3A      318  XRAY      1.45   0.14  0.178
5B8FA      164  XRAY      1.45   0.14  0.169
4UTUA      229  XRAY      1.45  0.141  0.169
6TR4A      552  XRAY      1.45  0.142  0.161
6X94A      426  XRAY      1.45  0.145  0.169
3E0XA      245  XRAY      1.45  0.145  0.185
6HXPA      268  XRAY      1.45  0.146  0.162
3GR3A      230  XRAY      1.45  0.147   0.17
4HTGA      320  XRAY      1.45  0.149  0.217
7NELA      247  XRAY      1.45  0.149  0.186
9DQWA      445  XRAY      1.45   0.15  0.165
7OVUA      218  XRAY      1.45   0.15  0.181
8A8OA      571  XRAY      1.45  0.153  0.178
1RCQA      357  XRAY      1.45  0.153  0.206
5FVNA      342  XRAY      1.45  0.156  0.183
9K7MA      313  XRAY      1.45   0.16  0.182
4AU1A      229  XRAY      1.45  0.161  0.178
1UUYA      167  XRAY      1.45  0.163  0.179
2AGWA      361  XRAY      1.45  0.165  0.195
1Q0RA      298  XRAY      1.45  0.165  0.187
2AGWD      135  XRAY      1.45  0.165  0.195
4GVHA      349  XRAY      1.45  0.166  0.195
3DOUA      191  XRAY      1.45  0.167  0.195
7FQIA      444  XRAY      1.45  0.168  0.189
1X54A      434  XRAY      1.45  0.169  0.192
5DCYA      368  XRAY      1.45  0.169  0.187
1TZCA      302  XRAY      1.45   0.17  0.192
4Z3GA      198  XRAY      1.45   0.17  0.189
3WURA      171  XRAY      1.45   0.17  0.204
8G6PA      508  XRAY      1.45  0.171   0.19
4INEA      454  XRAY      1.45  0.172  0.194
3IXLA      240  XRAY      1.45  0.172  0.193
6XJEA      223  XRAY      1.45  0.173   0.19
1XD3A      230  XRAY      1.45  0.177  0.192
9IL3A      184  XRAY      1.45  0.178  0.199
6R3MA      178  XRAY      1.45  0.179  0.208
8F5VA      167  XRAY      1.45   0.18  0.203
5CSDA      159  XRAY      1.45  0.182  0.204
3R5TA      305  XRAY      1.45  0.183  0.209
4HDRB      350  XRAY      1.45  0.188  0.219
4PYRA      305  XRAY      1.45  0.188  0.233
9EMPA      334  XRAY      1.45  0.189  0.209
8EWUA      373  XRAY      1.45   0.19  0.219
4R78A      309  XRAY      1.45  0.193  0.212
7CC7A      235  XRAY      1.45  0.193  0.213
6BSLA      202  XRAY      1.45  0.193  0.209
6HS0A      221  XRAY      1.45  0.198  0.217
7JIDA      292  XRAY      1.45  0.199  0.227
3O7BA      244  XRAY      1.45  0.199  0.211
6OW7P      202  XRAY      1.45  0.206  0.218
4B21A      232  XRAY      1.45  0.207  0.221
2EGVA      229  XRAY      1.45  0.218  0.245
7C6DA      242  XRAY     1.451  0.137   0.16
3T94A      270  XRAY     1.452   0.17  0.185
6C9XA      666  XRAY     1.457  0.143  0.162
7W1EA      671  XRAY      1.46  0.116  0.148
7SF6A      314  XRAY      1.46  0.138  0.161
2BFFB      342  XRAY      1.46   0.15  0.166
6VYDA      316  XRAY      1.46  0.151  0.184
9AUEA      415  XRAY      1.46  0.153  0.198
6HSJA      414  XRAY      1.46  0.157  0.174
4OUJA      307  XRAY      1.46  0.164  0.181
9HVJA      301  XRAY      1.46  0.169  0.189
8C8BA      343  XRAY      1.46  0.196  0.217
9B1UA      310  XRAY      1.46  0.199  0.207
7C8FA      266  XRAY     1.461  0.156  0.172
5HH9A      390  XRAY      1.47  0.135  0.165
4XLAA      600  XRAY      1.47  0.142  0.167
6CNGA      301  XRAY      1.47  0.152  0.165
5KY2A      355  XRAY      1.47  0.154  0.175
5KY2B       40  XRAY      1.47  0.154  0.175
4BB9A      633  XRAY      1.47  0.161  0.177
6AE9A      260  XRAY      1.47  0.161  0.179
3WKGA      412  XRAY      1.47  0.168  0.194
8H4PA      344  XRAY      1.47  0.172  0.198
7FGPA      390  XRAY      1.47  0.174  0.185
6EDGA      213  XRAY      1.47  0.178  0.192
7BVTA      416  XRAY      1.47  0.186  0.207
5YSQA      286  XRAY      1.47  0.193  0.204
6P8JA      302  XRAY      1.47  0.197  0.229
3GKNA      163  XRAY      1.47  0.198  0.211
5AGIA      261  XRAY      1.47    0.2  0.217
4MAMA      373  XRAY     1.474  0.161  0.177
5A9PA      248  XRAY     1.476  0.131  0.147
6G96A      176  XRAY     1.477   0.21  0.235
4JBBA      234  XRAY      1.48  0.109  0.131
6J03A      200  XRAY      1.48   0.11   0.14
5JSDA      719  XRAY      1.48  0.144  0.169
4DWRA      487  XRAY      1.48  0.144  0.178
7VB3A      443  XRAY      1.48  0.157  0.183
2BCGG      453  XRAY      1.48  0.165  0.193
4MBYA      278  XRAY      1.48  0.166  0.186
5O1LA      407  XRAY      1.48  0.167  0.189
5T9CE      268  XRAY      1.48   0.17  0.197
8XBAA      429  XRAY      1.48  0.171  0.188
9GKUA      380  XRAY      1.48  0.174  0.199
8GR9A      460  XRAY      1.48  0.178  0.198
3GVJA      670  XRAY      1.48  0.195  0.216
3VMKA      375  XRAY      1.48  0.195  0.232
3C9UA      342  XRAY      1.48  0.201  0.219
4D6PA      231  XRAY     1.482  0.193  0.239
1S8NA      205  XRAY     1.482  0.204  0.228
4BVPA      368  XRAY      1.49  0.127  0.169
5CT4A      180  XRAY      1.49  0.127  0.156
5BPKA      379  XRAY      1.49  0.145  0.184
5BPKC      225  XRAY      1.49  0.145  0.184
7DFSA      480  XRAY      1.49  0.148  0.176
3WWXA      349  XRAY      1.49  0.149  0.162
6DGMA      383  XRAY      1.49  0.154  0.175
8I6IA      448  XRAY      1.49  0.164  0.189
7X73A      283  XRAY      1.49  0.168  0.193
4C2VC       44  XRAY      1.49  0.168  0.197
4PLPA      479  XRAY      1.49  0.192  0.225
9FA6A      546  XRAY      1.49  0.199  0.232
6JCIA      758  XRAY     1.493  0.179  0.194
5Z99A      485  XRAY     1.494   0.17  0.194
9LIAB      378  XRAY     1.495  0.167  0.185
8B4GAAA    228  XRAY     1.496   0.15  0.181
6FBZA      200  XRAY     1.496  0.172  0.206
6FBZB       81  XRAY     1.496  0.172  0.206
5LSCA      240  XRAY     1.497  0.137  0.166
4CS3A      274  XRAY     1.499  0.157  0.185
6UBLA      211  XRAY     1.499  0.163  0.185
7AQXA      364  XRAY     1.499  0.165  0.192
4CW0A      301  XRAY       1.5  0.118  0.157
8QEUA      324  XRAY       1.5  0.119  0.156
8IYBA      281  XRAY       1.5  0.124  0.169
4GCYA      174  XRAY       1.5  0.125  0.158
5HHTA      669  XRAY       1.5  0.127  0.157
7T7JA      370  XRAY       1.5  0.129   0.16
7EMOA      186  XRAY       1.5   0.13  0.171
6NRHA      271  XRAY       1.5  0.131  0.158
4RYAA      424  XRAY       1.5  0.133  0.168
5EGPA      314  XRAY       1.5  0.134  0.164
5BP9A      281  XRAY       1.5  0.134  0.179
1N5WB      809  XRAY       1.5  0.135  0.171
1KDGA      546  XRAY       1.5  0.135  0.169
1N5WC      288  XRAY       1.5  0.135  0.171
1N5WA      166  XRAY       1.5  0.135  0.171
1NYTA      271  XRAY       1.5  0.136  0.169
9Q8FA      509  XRAY       1.5  0.139  0.165
5JCAS      284  XRAY       1.5  0.139  0.153
3CXMA      268  XRAY       1.5  0.139   0.16
5F23A      283  XRAY       1.5   0.14   0.18
5M4BA      440  XRAY       1.5  0.141  0.168
6W54A      231  XRAY       1.5  0.141  0.166
4R9KA      174  XRAY       1.5  0.143  0.165
7T29A      464  XRAY       1.5  0.144  0.173
2FYFA      398  XRAY       1.5  0.145  0.166
4MC3A      346  XRAY       1.5  0.145  0.189
4W79A      202  XRAY       1.5  0.145   0.17
3H7CX      383  XRAY       1.5  0.147  0.174
4PZKA      170  XRAY       1.5  0.147  0.185
8ZOPA      412  XRAY       1.5  0.148  0.171
4PCAA      226  XRAY       1.5  0.148  0.172
2JG0A      535  XRAY       1.5  0.149  0.189
3BPTA      363  XRAY       1.5  0.149  0.197
5NNAA      264  XRAY       1.5  0.149  0.177
5ZIQA      171  XRAY       1.5  0.149  0.194
9BALA      570  XRAY       1.5   0.15  0.167
4V15A      379  XRAY       1.5   0.15  0.177
3KGYA      231  XRAY       1.5   0.15  0.174
4JGIA      211  XRAY       1.5   0.15  0.194
7L4AA      229  XRAY       1.5  0.151   0.19
5VOGA      183  XRAY       1.5  0.151  0.176
4LRTA      355  XRAY       1.5  0.152   0.17
4LRTB      323  XRAY       1.5  0.152   0.17
7RUTA      196  XRAY       1.5  0.152  0.184
7ZZKA      511  XRAY       1.5  0.153  0.178
3QB8A      197  XRAY       1.5  0.153  0.168
6SU3A      264  XRAY       1.5  0.155  0.199
3DXYA      218  XRAY       1.5  0.155  0.185
6ZE7A      595  XRAY       1.5  0.156  0.182
5M60A      757  XRAY       1.5  0.158  0.182
4ZFVA      447  XRAY       1.5  0.158  0.174
1Z9NA      177  XRAY       1.5  0.158  0.193
8IKXA      390  XRAY       1.5  0.159  0.179
3WASA      390  XRAY       1.5   0.16  0.185
4V12A      343  XRAY       1.5   0.16  0.178
3VRDB      401  XRAY       1.5  0.161  0.195
3VRDA      174  XRAY       1.5  0.161  0.195
8Q81A      371  XRAY       1.5  0.162  0.187
3FWNA      480  XRAY       1.5  0.163  0.193
6STOA      170  XRAY       1.5  0.163  0.181
4PFYA      544  XRAY       1.5  0.164  0.187
6VO6A      321  XRAY       1.5  0.164  0.189
6U2SA      301  XRAY       1.5  0.164  0.188
8EFGA      295  XRAY       1.5  0.164  0.189
7SZSA      219  XRAY       1.5  0.165  0.182
6MDWA      194  XRAY       1.5  0.165  0.193
7QZLA      346  XRAY       1.5  0.166  0.189
5GMDA      325  XRAY       1.5  0.166  0.192
5UZXA      245  XRAY       1.5  0.166  0.199
4R81A      206  XRAY       1.5  0.166  0.206
9E92A      458  XRAY       1.5  0.167  0.189
7BC1A      319  XRAY       1.5  0.167  0.195
2BKVA      242  XRAY       1.5  0.167  0.211
2WTGA      159  XRAY       1.5  0.167  0.201
9FTCA      248  XRAY       1.5  0.168  0.185
2W31A      162  XRAY       1.5  0.168  0.207
8TNVA      393  XRAY       1.5  0.169  0.186
7WVTA      400  XRAY       1.5   0.17  0.211
4XZWA      313  XRAY       1.5   0.17    0.2
7NE2A      312  XRAY       1.5   0.17  0.194
4FFLA      363  XRAY       1.5  0.171  0.203
4KZKA      337  XRAY       1.5  0.171  0.193
3IT3A      342  XRAY       1.5  0.172  0.187
2ORWA      184  XRAY       1.5  0.173  0.208
3BB0A      609  XRAY       1.5  0.174  0.194
3A1SA      258  XRAY       1.5  0.174  0.217
6SRNA      214  XRAY       1.5  0.175  0.207
3DT7A      624  XRAY       1.5  0.176  0.209
7W06A      292  XRAY       1.5  0.177  0.195
9NT6A      281  XRAY       1.5  0.177  0.208
3KEOA      212  XRAY       1.5  0.178  0.234
8S7MA      234  XRAY       1.5  0.179  0.208
8JYAA      198  XRAY       1.5  0.179  0.214
2ARCA      164  XRAY       1.5  0.179  0.232
3RO0A      223  XRAY       1.5   0.18  0.205
8OI3A      208  XRAY       1.5   0.18  0.204
8OI3C       91  XRAY       1.5   0.18  0.204
2DF8A      325  XRAY       1.5  0.182  0.191
7PK0A      296  XRAY       1.5  0.182  0.211
7UQWA      276  XRAY       1.5  0.182  0.199
1E19A      314  XRAY       1.5  0.183  0.218
1I1NA      226  XRAY       1.5  0.183  0.213
1UI0A      205  XRAY       1.5  0.183  0.201
9F6GA      317  XRAY       1.5  0.184  0.211
8BLUA      195  XRAY       1.5  0.184  0.223
5X9IA      339  XRAY       1.5  0.186  0.208
4RU1A      304  XRAY       1.5  0.187  0.226
4K8PA      352  XRAY       1.5  0.188  0.236
7ZQ3O      348  XRAY       1.5  0.188  0.205
5TPGA      307  XRAY       1.5  0.188  0.215
2R8QA      359  XRAY       1.5   0.19  0.208
1UNBA      311  XRAY       1.5  0.191  0.236
5LOMA      269  XRAY       1.5  0.192  0.224
1X46A      150  XRAY       1.5  0.194  0.227
3ND1A      275  XRAY       1.5  0.195   0.22
6XHHA      182  XRAY       1.5  0.196  0.231
1OD6A      160  XRAY       1.5  0.196  0.201
2QXFA      482  XRAY       1.5    0.2  0.224
3Q2IA      354  XRAY       1.5  0.203  0.236
5DM2A      265  XRAY       1.5  0.207   0.24
2IBNA      250  XRAY       1.5  0.208  0.248
4B4DA      262  XRAY       1.5  0.209   0.23
1GS5A      258  XRAY       1.5  0.209  0.213
7OU8AAA    737  XRAY       1.5   0.21  0.232
1IYBA      208  XRAY       1.5  0.212   0.23
7EF7A      250  XRAY       1.5  0.214   0.24
1G69A      228  XRAY       1.5  0.215  0.232
1JL0A      334  XRAY       1.5  0.221  0.237
1J77A      209  XRAY       1.5  0.229   0.26
5UWAA      203  XRAY     1.501  0.139  0.168
3S19A      290  XRAY     1.501  0.153  0.176
5H9IA      240  XRAY     1.501  0.173  0.205
6BUMA      363  XRAY      1.51  0.127  0.141
7VEXA      417  XRAY      1.51  0.148  0.197
5NX7A      330  XRAY      1.51  0.151  0.174
4HHRA      652  XRAY      1.51  0.154  0.182
2D1EA      248  XRAY      1.51  0.158  0.183
9DUJA      396  XRAY      1.51  0.165  0.191
4BJZA      424  XRAY      1.51   0.17  0.201
6SD8A      505  XRAY      1.51  0.175  0.193
8AY0A      521  XRAY      1.51  0.186  0.221
3BEXA      249  XRAY      1.51  0.186  0.213
5BK9A      295  XRAY      1.51  0.197  0.217
7PG7D      375  XRAY      1.51    0.2  0.221
8WCHA      417  XRAY     1.519  0.152  0.187
2RARA      261  XRAY      1.52  0.167   0.19
4RXLA      234  XRAY      1.52  0.172   0.21
6S3AA      215  XRAY      1.52  0.185    0.2
6GQDA      380  XRAY     1.523  0.164  0.188
5I34A      441  XRAY      1.53  0.135  0.186
7REDA      254  XRAY      1.53  0.149  0.167
6C3AA      413  XRAY      1.53  0.154  0.173
5TSQA      312  XRAY      1.53  0.154  0.169
8HGEB      480  XRAY      1.53  0.161  0.187
1XG5A      279  XRAY      1.53  0.162  0.206
7BIZA      501  XRAY      1.53  0.166  0.192
7BQOA      463  XRAY      1.53  0.167  0.182
9E97A      349  XRAY      1.53   0.17  0.186
7RFTA      239  XRAY      1.53  0.176  0.197
3DWGC       93  XRAY      1.53  0.178  0.217
7AUCA      562  XRAY      1.53   0.19  0.208
8CLQA      315  XRAY      1.53  0.198  0.216
4XDYA      338  XRAY     1.535   0.18  0.209
3VE7A      215  XRAY     1.539   0.17  0.201
4LQYA      401  XRAY      1.54  0.142  0.184
3KWKA      175  XRAY      1.54  0.147  0.176
3WL4A      267  XRAY      1.54  0.154  0.169
2VQ2A      225  XRAY      1.54  0.166  0.183
3JS8A      540  XRAY      1.54  0.176  0.196
6ZEAA      321  XRAY      1.54  0.184  0.218
5UXMA      453  XRAY      1.54  0.186   0.21
7YB9A      430  XRAY      1.54  0.186  0.215
3P0FA      297  XRAY      1.54  0.192  0.212
3UNVA      547  XRAY      1.54  0.206  0.247
5CUOA      202  XRAY     1.544   0.19  0.221
6JQ8A      225  XRAY     1.546  0.208  0.229
6CR0A      440  XRAY     1.548   0.15  0.185
8AWZA      246  XRAY     1.549  0.171  0.192
3CA1A      258  XRAY      1.55  0.119  0.163
3QGUA      449  XRAY      1.55  0.126  0.171
6VJRA      502  XRAY      1.55  0.127  0.158
4Z7XA      238  XRAY      1.55  0.127   0.18
6WNGA      475  XRAY      1.55  0.134  0.153
8BFYA      426  XRAY      1.55  0.138  0.178
4XFJA      408  XRAY      1.55  0.138  0.182
6I9WA      259  XRAY      1.55  0.139  0.159
3PZIA      383  XRAY      1.55  0.142  0.183
7DVAA      534  XRAY      1.55  0.144  0.184
6IMEA      296  XRAY      1.55  0.146  0.167
3TOSA      257  XRAY      1.55  0.147  0.173
3IFEA      434  XRAY      1.55   0.15  0.172
8U2RA      713  XRAY      1.55  0.152  0.174
5AHKA      588  XRAY      1.55  0.152  0.174
5M1IA      575  XRAY      1.55  0.155  0.183
2C4WA      176  XRAY      1.55  0.156   0.19
8GKPI       95  XRAY      1.55  0.156  0.206
4OM8A      309  XRAY      1.55  0.157  0.188
4O5FA      280  XRAY      1.55  0.158  0.183
2X32A      179  XRAY      1.55   0.16  0.194
3SS7X      442  XRAY      1.55  0.161  0.194
3HOIA      193  XRAY      1.55  0.162  0.187
7X7IA      593  XRAY      1.55  0.164  0.191
6UNDA      231  XRAY      1.55  0.164  0.191
3R4ZA      374  XRAY      1.55  0.165  0.185
4XFMA      464  XRAY      1.55  0.166  0.191
8DCLA      189  XRAY      1.55  0.167    0.2
3B1NA      326  XRAY      1.55  0.168  0.198
8W5ZA      393  XRAY      1.55  0.173  0.195
4N67A      227  XRAY      1.55  0.173  0.194
3M0JA      307  XRAY      1.55  0.176  0.201
8H1BA      195  XRAY      1.55  0.176  0.204
6W81A      302  XRAY      1.55  0.177  0.214
2WNBA      298  XRAY      1.55  0.177  0.213
4G9PA      406  XRAY      1.55  0.178  0.203
4AG7A      165  XRAY      1.55   0.18  0.214
2X9OA      244  XRAY      1.55  0.181  0.225
5GRMA      210  XRAY      1.55  0.181  0.193
4X30A      395  XRAY      1.55  0.184  0.205
2XF3A      458  XRAY      1.55  0.188   0.21
6BNNA      296  XRAY      1.55  0.191  0.232
6TOPB      150  XRAY      1.55  0.191  0.215
2ZYTX      295  XRAY      1.55  0.192   0.21
3AI9X      211  XRAY      1.55  0.192  0.237
7VFQA      411  XRAY      1.55  0.193  0.227
8RV0Y      495  XRAY      1.55  0.206  0.255
1GHEA      177  XRAY      1.55  0.209   0.23
4WUVA      307  XRAY     1.551  0.142  0.172
5I2HA      364  XRAY     1.551  0.156  0.197
5F6DA      157  XRAY     1.553  0.172  0.196
4G38A      570  XRAY      1.56  0.141  0.177
6FNUA      308  XRAY      1.56  0.154   0.19
9INTA      321  XRAY      1.56  0.159  0.177
6TFXA      500  XRAY      1.56  0.164  0.182
4M7TA      270  XRAY      1.56  0.165  0.182
9CR5A      174  XRAY      1.56  0.169  0.202
3E3UA      197  XRAY      1.56  0.173  0.203
9F8AA      323  XRAY      1.56  0.181  0.198
4B10A      385  XRAY      1.56  0.191  0.238
6PUQA      222  XRAY      1.56  0.199  0.227
4XA7A      255  XRAY      1.56    0.2  0.222
5ZJ5A      162  XRAY     1.568  0.175  0.208
2J5SA      263  XRAY      1.57   0.14   0.17
5YKTA      461  XRAY      1.57  0.154   0.18
3QURA      286  XRAY      1.57  0.157  0.172
6PBMA      449  XRAY      1.57  0.165  0.182
8EL3A       67  XRAY      1.57  0.171  0.201
6ZMPA      196  XRAY      1.57  0.173  0.205
6QLHA      230  XRAY      1.57  0.178  0.199
3L8QA      350  XRAY      1.57   0.18  0.226
8BBBA      331  XRAY      1.57   0.18  0.205
9IABA      273  XRAY      1.57  0.186  0.199
7OUJAAA    555  XRAY     1.573  0.184  0.209
4HNHA      221  XRAY     1.576  0.176  0.203
5XDCA      414  XRAY     1.579  0.166  0.186
2XN2A      732  XRAY      1.58  0.132  0.155
8BPLA      316  XRAY      1.58  0.138  0.171
8IQ9A      612  XRAY      1.58  0.144  0.173
6L8SA      650  XRAY      1.58  0.151  0.186
5XK6A      232  XRAY      1.58  0.153  0.173
5GLYA      213  XRAY      1.58  0.153   0.18
8VCPA      152  XRAY      1.58  0.155  0.185
5E68A      179  XRAY      1.58  0.162  0.196
8HVCA      614  XRAY      1.58   0.17  0.199
8RAYA      255  XRAY      1.58  0.175    0.2
4EYSA      346  XRAY      1.58   0.18  0.198
8OG1A      891  XRAY      1.58  0.185  0.211
5B1SA      304  XRAY      1.58  0.188  0.232
2O2CA      613  XRAY      1.58    0.2  0.213
3GZXA      457  XRAY      1.58  0.207  0.218
6YPAA      282  XRAY      1.58  0.208   0.24
2BZGA      232  XRAY      1.58  0.214  0.249
5Z6BA      427  XRAY     1.582  0.181  0.204
7ATMA      537  XRAY     1.582  0.192  0.225
9ETNA      586  XRAY     1.584  0.152  0.195
6N87A      336  XRAY     1.588  0.162  0.188
6XIGA      419  XRAY      1.59  0.157  0.183
9G7JA      607  XRAY      1.59  0.162  0.178
6YB5A      261  XRAY      1.59  0.162  0.184
6YB5C       62  XRAY      1.59  0.162  0.184
5W99A      336  XRAY      1.59  0.164  0.199
7DLMA      280  XRAY      1.59  0.167  0.191
2WB9A      211  XRAY      1.59  0.177  0.222
6GBCA      460  XRAY      1.59  0.178  0.194
3QWBA      334  XRAY      1.59  0.189  0.211
7FEVA      448  XRAY     1.594  0.173  0.199
4DQQA      592  XRAY     1.595  0.161  0.179
3OTIA      398  XRAY     1.597  0.153  0.181
3T6CA      440  XRAY     1.598   0.14  0.168
4K9QA      539  XRAY     1.598  0.163  0.189
5U8CA      292  XRAY     1.598  0.189  0.204
6KIAA      446  XRAY     1.598  0.224  0.259
2F6DA      492  XRAY       1.6   0.12   0.16
2YMVA      330  XRAY       1.6   0.12  0.147
4JJJA      642  XRAY       1.6  0.124  0.164
3TFIA      369  XRAY       1.6  0.132  0.184
3DASA      347  XRAY       1.6  0.134  0.159
1NF8A      207  XRAY       1.6  0.134   0.21
8VSYA      322  XRAY       1.6  0.137  0.157
2O2HA      300  XRAY       1.6  0.145  0.173
5MZYB      248  XRAY       1.6  0.145  0.163
4WBTA      376  XRAY       1.6  0.147  0.163
5IN4A      364  XRAY       1.6  0.148  0.176
6ERKA      451  XRAY       1.6  0.149  0.188
4NTDA      340  XRAY       1.6  0.149  0.159
5VA8A      267  XRAY       1.6  0.149  0.177
6MFUA      225  XRAY       1.6   0.15  0.175
4TSLA      179  XRAY       1.6   0.15  0.172
6AXEA      739  XRAY       1.6  0.152  0.174
5KP7B      103  XRAY       1.6  0.152  0.167
4TX9A      248  XRAY       1.6  0.153   0.18
2JISA      515  XRAY       1.6  0.154  0.179
3OZ2A      397  XRAY       1.6  0.154  0.171
2B5WA      357  XRAY       1.6  0.154  0.186
4NX1A      326  XRAY       1.6  0.154  0.177
7THNB      499  XRAY       1.6  0.155  0.187
5XZ7A      330  XRAY       1.6  0.155  0.179
5ZBFA      216  XRAY       1.6  0.155  0.195
6KIIA      490  XRAY       1.6  0.156  0.174
2BVDA      283  XRAY       1.6  0.156  0.186
8I71A      155  XRAY       1.6  0.156  0.193
4ZLFA      796  XRAY       1.6  0.157  0.177
8CK9A      428  XRAY       1.6  0.158  0.187
4PI7A      228  XRAY       1.6  0.158  0.187
3ML1A      802  XRAY       1.6  0.159   0.19
6JBYA      542  XRAY       1.6  0.159  0.183
7JMQB      397  XRAY       1.6  0.159  0.184
8AP0AAA    341  XRAY       1.6  0.159  0.203
7JMQA      268  XRAY       1.6  0.159  0.184
3ML1B      135  XRAY       1.6  0.159   0.19
6A1IA      566  XRAY       1.6   0.16  0.191
6Y1WA      523  XRAY       1.6   0.16  0.189
5ZE8A      435  XRAY       1.6   0.16  0.191
7M1VA      221  XRAY       1.6   0.16  0.189
8HICA      414  XRAY       1.6  0.161  0.189
4R73A      321  XRAY       1.6  0.162  0.194
5D61A      293  XRAY       1.6  0.162  0.186
2DWUA      276  XRAY       1.6  0.162  0.194
4W97A      200  XRAY       1.6  0.162  0.199
5IXGA      169  XRAY       1.6  0.162  0.194
7LR8A      433  XRAY       1.6  0.163  0.191
4KPUA      346  XRAY       1.6  0.163  0.191
4KPUB      263  XRAY       1.6  0.163  0.191
8XIVA      290  XRAY       1.6  0.164  0.196
7OMYAAA    210  XRAY       1.6  0.164  0.197
2VBFA      570  XRAY       1.6  0.165    0.2
3HL0A      353  XRAY       1.6  0.165  0.189
2Y27A      437  XRAY       1.6  0.166  0.194
6VCRA      161  XRAY       1.6  0.166   0.19
3DSIA      495  XRAY       1.6  0.168  0.185
5VYQA      255  XRAY       1.6  0.168    0.2
6D3AA      366  XRAY       1.6  0.169  0.198
4R1SA      337  XRAY       1.6   0.17  0.192
8ADQA      257  XRAY       1.6   0.17  0.201
8YIFA      575  XRAY       1.6  0.171  0.196
3DJEA      438  XRAY       1.6  0.171  0.197
5NJIA      322  XRAY       1.6  0.171  0.192
6EYHA      306  XRAY       1.6  0.171   0.21
5W2IA      257  XRAY       1.6  0.171  0.215
4QBBA      167  XRAY       1.6  0.171  0.201
7O7GA      671  XRAY       1.6  0.172  0.205
7POAA      421  XRAY       1.6  0.172  0.239
8PJDA      356  XRAY       1.6  0.172  0.189
6VO5A      324  XRAY       1.6  0.172  0.198
5D4VA      268  XRAY       1.6  0.172  0.208
2IV7A      374  XRAY       1.6  0.173  0.201
9L08A      291  XRAY       1.6  0.174  0.211
1NFPA      228  XRAY       1.6  0.175  NA   
2RDGA      196  XRAY       1.6  0.176  0.207
7CNPA      579  XRAY       1.6  0.177  0.205
1KQFB      294  XRAY       1.6  0.177  0.195
8IS7A      278  XRAY       1.6  0.177  0.206
1KQFC      217  XRAY       1.6  0.177  0.195
8AMQA      484  XRAY       1.6  0.178  0.207
